title,link_url,time,categories,content
"Peneliti IDEAS: Sekilas Konsep UU Cipta Kerja Indah, tapi...",https://bola.kompas.com/read/2020/10/08/21514568/timnas-u19-indonesia-vs-nk-dugopolje-2-pemain-jadi-tumbal-kemenangan-garuda-muda,"08/10/2020, 21:51 WIB",BOLA," Peneliti Lembaga Riset Institute for Demographic and Poverty Studies (IDEAS) Askar Muhammad menilai, sekilas Undang-Undang (UU) Cipta Kerja menawarkan konsep yang indah. ,Namun Askar juga menilai konsep UU Cipta Kerja tersebut, khususnya klaster ketenagakerjaan, tidak cocok dengan Indonesia yang masih banyak memiliki tenaga kerja tidak terampil (,).,“Sekilas konsep yang ditawarkan ini adalah konsep yang indah. Akan tetapi, negara-negara yang memiliki fleksibilitas pasar tenaga kerja tinggi adalah negara-negara yang memiliki SDM yang sudah baik, seperti Singapura, Denmark, Jepang, Jerman, dan negara Skandinavia,” katanya dalam keterangan tertulis, Kamis (8/10/2020).,Ia mengatakan, kerangka besar yang terkandung UU Cipta Kerja khususnya klaster ketenagakerjaan adalah membangun pasar tenaga kerja yang fleksibel. Hal tersebut akan mempermudah perusahaan untuk merekrut dan melepas tenaga kerja.,Dia berpendapat, pasar tenaga kerja yang fleksibel tidak cocok diterapkan di Indonesia yang masih memiliki tenaga kerja tidak terampil (low skilled workers) yang cukup banyak.,Menurut dia, bila pasar tenaga kerja yang fleksibel diterapkan pada lingkungan yang belum siap, maka justru akan meningkatkan ketimpangan antara tenaga kerja terampil (,) dan tenaga kerja tidak terampil (,).,“Pasar tenaga kerja yang fleksibel akan lebih menguntungkan high skilled workers. Sebab dengan keterampilannya, ia akan lebih mudah untuk memperoleh pekerjaan lagi. Hal ini berbeda dengan low skilled workers yang bisa dipastikan sulit mendapatkan pekerjaan kembali bila ada PHK,” ujarnya.,IDEAS juga menyoroti beberapa pasal di dalam UU Cipta Kerja yang berdampak kepada kesejahteraan buruh.,Salah satunya soal jam lembur. UU Cipta kerja memperpanjang waktu kerja lembur. Pada UU No. 13 Tahun 2003 tentang Ketenagakerjaan, Pasal 78 ayat (1) butir b menyebutkan bahwa waktu kerja lembur hanya dapat dilakukan paling banyak 3 jam dalam 1 hari dan 14 jam dalam 1 minggu.,“Undang-undang Ciptaker ini mengubah ketentuan lembur menjadi paling lama 4 jam dalam 1 hari dan 18 jam dalam 1 minggu,” kata dia.,Berdasarkan data IDEAS, pada 2019 terdapat 39,1 juta pekerja Indonesia yang bekerja 41-54 jam per pekan dan 21,1 juta pekerja Indonesia yang bekerja di atas 54 jam per pekan. Jika jam kerja ditingkatkan, maka waktu luang berkurang.,Hal ini menurutnya, berpotensi memperburuk kondisi , para pekerja. Padahal, , merupakan salah satu indikator dalam kerja layak (,)."
Lirik dan Chord Lagu This Charming Man dari The Smiths,https://bola.kompas.com/read/2020/10/08/21514568/timnas-u19-indonesia-vs-nk-dugopolje-2-pemain-jadi-tumbal-kemenangan-garuda-muda,"08/10/2020, 21:51 WIB",BOLA,"- ""This Charming Man"" adalah lagu dari grup musik asal Inggris,  ,.,Lagu ini ditulis oleh dua personil The Smiths saat itu, vokalis Morrissey dan gitaris Johnny Marr. ,""This Charming Man"" dirilis sebagai singel kedua The Smiths pada bulan Oktober 1983 lewat label rekaman independen Rough Trade.,Berikut  , dan ,lagu ""This Charming Man"" dari The Smiths:,Bm7 D A A,N.C. Bm7,Punctured bicycle,D A,on a hill side desolate,,Bm7 D,will nature make a man of me yet,A,when in his charming car,Bm7 D,this charming man,A,why pamper lifes complexity,when the leather runs smooth,Bm7 D,on the passengers seat,A,I would go out tonight,Bm7 D,but i havent got a stitch to wear,A,this man said its gruesome,Bm7 D,that someone so handsome should care,Dmaj9 E6 F#m7,Ah! a jumped up pantry boy,B9 Dmaj9,who never knew his place,B9 F#m7,he said return the ring,Dmaj9 E6 F#m7 B9,he knows so much a-bout these things,Dmaj9 E6 F#m7,he knows so much a-bout these things,N.C. A,I would go out tonight,Bm7 D,but i havent got a stitch to wear,A,this man said its gruesome,Bm7 D,that someone so handsome should care,A Bm7 D,La la la la la la la this charming man,A Bm7 D,La la la la la la la this charming man,Dmaj9 E6 F#m7,Ah! a jumped up pantry boy,B9 Dmaj9,who never knew his place,B9 F#m7,he said return the ring,Dmaj9 E6 F#m7 B9,he knows so much a-bout these things,Dmaj9 E6 F#m7,he knows so much a-bout these things,Dmaj9 E6 F#m7 B9 Dmaj9 B9 F#m7,he knows so much a-bout these things,Dmaj9 E6 F#m7 B9 Dmaj9 B9 F#m7 F#m7"
Alasan Pelatih Jepang Manfaatkan Pemain yang Berlaga di Eropa,https://bola.kompas.com/read/2020/10/08/21514568/timnas-u19-indonesia-vs-nk-dugopolje-2-pemain-jadi-tumbal-kemenangan-garuda-muda,"08/10/2020, 21:51 WIB",BOLA," Laga uji coba Timnas Jepang di luar negeri menjadi yang pertama bagi tim Samurai Biru.,Adalah pelatih Jepang Hajime Moriyasu yang menempuh kebijakan itu.,""Kami beruji coba di Belanda,"" kata Hajime Moriyasu.,Di Stadion Galgenwaard, Utrecht, Jepang akan bersua dengan timnas Kamerun pada Jumat (9/10/2020).,Empat hari kemudian, di stadion yang sama, pada Selasa (13/10/2020), Jepang akan berlaga melawan Pantai Gading.,Rupanya, Moriyasu punya pertimbangan sendiri atas keputusannya itu.,Hal ini, sudah barang tentu berkenaan dengan pandemi corona.,""Ada larangan bepergian dan aturan karantina di Jepang yang menjadi kendala,"" kata Moriyasu.,Bagi Moriyasu waktu karantina untuk pendatang masuk ke Jepang terlalu lama.,""Makanya, saya lebih memilih ke luar negeri dan memanfaatkan penggawa Jepang di sana,"" tuturnya.,Ada 25 pemain Jepang pada laga internasional kali ini.,Termasuk di dalamnya adalah Takumi Minamino yang tengah bermain di Liverpool.,Ada juga  ,, penggawa Villareal.,Hajime Moriyashu juga menyertakan pemain senior Shinji Okazaki asal Huesca.,Lantas, ada pemain berusia 20 tahun yakni Yukinari Sugawara, penggawa klub Liga Belanda AZ Alkmaar yang ikut ambil bagian.,Takefusa Kubo kini berusia 19 tahun."
"Anarkistis, 634 Demonstran Penolak Omnibus Law di Surabaya dan Malang Ditangkap",https://bola.kompas.com/read/2020/10/08/21514568/timnas-u19-indonesia-vs-nk-dugopolje-2-pemain-jadi-tumbal-kemenangan-garuda-muda,"08/10/2020, 21:51 WIB",BOLA," - Polisi menangkap 634 pengunjuk rasa yang berlaku anarkistis saat demo menolak Omnibus Law UU Cipta Kerja di Kota  , dan Kota  ,, Kamis (8/10/2020).,Kabid Humas Polda Jatim Kombes Trunoyudo Wisnu Andiko mengatakan, dari 634 pengunjuk rasa yang ditangkap, 505 orang berasal dari Surabaya dan 129 lagi dari Kota Malang.,Para demonstran akan diproses di Mapolresta Malang dan Mapolrestabes Surabaya.,""Ada 634 yang kami amankan dari Surabaya dan Malang terkait insiden kerusuhan di Surabaya dan Malang,"" kata Trunoyudo di Gedung Negara Grahadi Surabaya, Kamis (8/10/2020) malam.,Sebelum diproses hukum, para demonstran akan menjalani , dan pemeriksaan swab.,""Jika terbukti positif Covid-19, mereka akan dikarantina dulu,"" ujarnya.,Polisi akan mendalami masing-masing peran pengunjuk rasa dalam aksi anarkistis tersebut.,Ancamannya yaitu perusakan fasilitas umum pasal 406 KUHP dan pasal 218 jo pasal 212 tentang melawan petugas., ,Seperti diberitakan, aksi protes Omnibus Law di Surabaya berakhir ricuh.,Massa di depan Gedung Negara Grahadi merusak fasilitas umum termasuk dua pintu gerbang Gedung Grahadi.,Polisi membubarkan paksa massa dan menangkap yang dinilai bertindak anarkistis.,Sementara di Kota Malang, aksi massa dengan tuntutan yang sama juga dibubarkan paksa karena merusak Gedung DPRD Kota Malang. "
"18 Halte Dirusak Saat Demo Tolak UU Cipta Kerja, Transjakarta Rugi Rp 45 Miliar",https://bola.kompas.com/read/2020/10/08/21514568/timnas-u19-indonesia-vs-nk-dugopolje-2-pemain-jadi-tumbal-kemenangan-garuda-muda,"08/10/2020, 21:51 WIB",BOLA," Berdasarkan data sementara yang dimiliki PT Transjakarta, sebanyak 18  , dirusak dan dibakar ketika aksi demonstrasi menolak Undang-Undang (UU) Cipta Kerja yang berlangsung pada Kamis (8/10/2020).,Kerugian diperkirakan mencapai Rp 45 miliar., Kepala Divisi Sekretaris Korporasi dan Humas PT Transportasi Jakarta Nadia Diposanjoyo mengatakan setidaknya terdapat 10 halte yang dirusak dan dijarah fasilitasnya., Sementara delapan halte lainnya hangus dibakar oleh oknum massa aksi dalam demonstrasi menolak UU Cipta Kerja., ""Hingga pukul 20.30 WIB baru diketahui sebanyak 18 halte transjakarta rusak oleh oknum tidak bertanggung jawab,"" ujar Nadia dalam keterangan tertulis, Kamis (8/10/2020)., Menurut Nadia, pihaknya belum menghitung secara pasti jumlah kerugian imbas penjarahan dan pembakaran halte saat aksi demonstrasi penokak UU Cipta Kerja, Namun, Transjakarta memperkirakan kerugian akibat kejadian tersebut bisa mencapai angka Rp 45 miliar., ""Transjakarta sangat menyayangkan dan mengecam keras aksi perusakan dan pembakaran halte dan fasilitas warga,"" kata Nadia., Berikut daftar  , yang dijarah dan dibakar ketika aksi demonstrasi menolak UU Cipta Kerja.,Halte yang dibakar:,Halte yang dirusak:"
Lulusan Politeknik Negeri Batam Banyak Tawaran Kerja di Jepang,https://money.kompas.com/read/2020/10/08/214714626/di-tengah-pandemi-dbs-indonesia-bakal-genjot-kredit-korporasi,"08/10/2020, 21:47 WIB",MONEY," - Alumni dari Program Studi (Prodi) Multimedia dan Jaringan  , yang sudah terbiasa dengan dunia  , banyak yang ditawarkan  , ke  , maupun  ,.,""Itu yang terjadi mereka para alumni kami mau ke internasional, mereka memilih ke Jepang atau Singapura, karena dapat tawaran di sana,"" ucap Kepala Program Studi Teknik Multimedia dan Jaringan Politeknik Negeri Batam Evaliata Sembiring dalam acara webinar Animakini 2020 terkait ""Integrasi Kurikulum Akademik Bersinergi Dengan Industri  ,"", Kamis (8/10/2020).,Dia menyebutkan salah satu alumni yang sudah bekerja hingga Jepang adalah Efrizal Hardiman. Kadang, semua alumni yang sudah bekerja juga diperkenankan untuk menjadi dosen praktisi di kampus.,""Alumni bisa jadi dosen praktisi, dosen praktisi juga ada datang dari Kinema dan Zettamind Studios,"" jelas dia.,Bagi mereka yang sudah di luar negeri, Evaliata mengaku, kampus menawarkan mereka untuk balik lagi ke Indonesia untuk menjadi dosen. Namun, semua pilihan ada di tangan semua alumni.,""Mungkin kalau mereka sudah bosan di luar negeri, mereka bisa balik lagi. Karena kita tidak ingin menghentikan karya mereka, mereka mau jadi akademisi, itu terserah mereka,"" kata dia.,Demi meningkatkan dunia animasi, lanjut dia, kampus ini sedang membangun , (PH). Dengan begitu,  , bisa lebih belajar secara luas dunia animasi.,Apalagi, industri animasi sangat butuh cepat tenaga handal dari kalangan animasi, agar bisa mengerjakan proyek dengan cepat.,""Bukan PT Kinema Systrans Multimedia (Kinema) saja, tapi industri lainnya. Ini untuk belajar PH yang dibangun, kalau misalnya Kinema memberikan suatu hal kepada kami, ini akan kita tetapkan sebagai bonus saja,"" tutup dia."
"Massa Aksi yang Ditangkap Polisi di Makassar Bertambah, Kini 105 Orang",https://www.kompas.com/motogp/read/2020/10/08/21322668/marc-marquez-bisa-lanjutkan-dominasi-di-motogp-tetapi-itu-tergantung-honda,"08/10/2020, 21:32 WIB",BOLA," - Jumlah massa aksi tolak pengesahan Omnibus Law Undang-undang Cipta Kerja yang ditangkap usai terlibat bentrokan dengan polisi di  ,, Kamis (8/10/2020) kembali bertambah. ,Dari data yang dikeluarkan Polrestabes Makassar, kini sudah ada 105 orang yang merupakan massa aksi diamankan dan kini berada di Polrestabes. ,Dari pantauan ,, situasi aksi penolakan Omnibus Law masih memanas di beberapa titik aksi., ,Bentrokan kembali pecah ketika para massa aksi menyerang Polsek Rappocini di Jalan Sultan Alauddin Makassar, Kamis malam. ,Para massa aksi melempari kantor polisi. Kemarahan para peserta aksi dipicu atas penangkapan yang dilakukan terhadap rekannya sebelumnya. ,Sementara itu di Jalan Urip Sumoharjo, tepat di depan kantor Gubernur Sulawesi Selatan, para demonstran membakar videotron yang berukuran cukup besar.,Api sempat besar sebelum dipadamkan polisi dengan menggunakan mobil water canon. ,Hingga kini mahasiswa di Jalan Urip Sumoharjo masih bentrok dengan polisi. Polisi yang ingin memukul mundur massa menggunakan tembakan gas air mata dan mobil water canon. ,Sebelumnya diberitakan, Kapolda Sulsel Irjen Pol Merdisyam mengatakan, 73 orang yang diamankan tersebut merupakan massa aksi. ,Mereka diamankan di lokasi berbeda yang menjadi tempat aksi unjuk rasa seperti Jalan Urip Sumoharjo dan Jalan Sultan Alauddin Makassar. ,""Saat ini kita sudah mengamankan kurang lebih 73 massa yang kita amankan waktu pendorongan,"" kata Merdisyam saat diwawancara wartawan di lokasi aksi, Kamis malam. ,Merdisyam mengatakan, 73 demonstran yang diamankan tersebut bakal di-, terlebih dahulu. Bila hasilnya reaktif maka peserta yang diamankan itu bakal diuji ,. , ,Selain rapid test, puluhan orang yang diamankan itu bakal dites urine untuk mengetahui apakah massa tersebut di bawah pengaruh narkoba. , ,""Kalau memang di antara mereka ada yang tes urinnya positif akan kita proses sesuai hukum yang berlaku,"" kata Merdisyam. "
Lirik dan Chord Lagu I Smile dari DAY6,https://bola.kompas.com/read/2020/10/08/21114678/waspada-pandemi-corona-timnas-korsel-tak-panggil-son-heung-min,"08/10/2020, 21:11 WIB",BOLA,"- ""I Smile"" adalah lagu dari grup musik asal Korea Selatan,  ,.,Lagu ini dimuat dalam album studio pertama DAY6 yang berjudul ,. Album tersebut dirilis pada tanggal 7 Juni 2017 oleh JYP Entertainment.,Lagu ""I Smile"" dirilis sebagai singel dari album ,, dan ditulis oleh dua personil DAY6, Young K dan Wonpil.,Berikut  , dan ,lagu ""I Smile"" dari DAY6:,A G#m7,oraenmaniya,F#m7 B5 C5 C#5 Eb5 E5 G#m7 A,meonjeo yeonragi ol jureun mollasseo,A G#m7,shigan namyeon uri,F#m7 B5 C5,jamkkan eolgurirado bojaneun,C#5 Eb5 E5 G#m7,mareul naega eotteoke geojeolhae,A,seolleimgwa,B E,duryeoum baniya,C#m A,ajik geuriwo,B,hago itneungeol,E C#m,nunchireul chael kkabwa,B A,oneulmankeumeun I smile,G#m7,apeudeorado I smile,G#m7,neoye apeseon,F#m7,amureochi aneun cheok,B5 C5,jal jinaego itneun cheok,C#5 Eb5 E5 G#m7,bandeushi,A G#m7,utneunda~ utneunda~,F#m7,gakkeumsshigirado ireoke,B5 C5,useumyeonseo mannage,C#5 Eb5 E5 G#m7,bandeushi,G#m7 A,I smile,A G#m7,yeojeonhane neon,F#m7 B5 C5 C#5 Eb5 E5 G#m7,ajikdo utneun eolguri yeppeune,A,jeongmallo,B E,maeum gataseon,C#m A,dangjangirado,B,dorawa dallago,E C#m,malhago shipjiman,B A,oneulmankeumeun I smile,G#m7,apeudeorado I smile,G#m7,neoye apeseon,F#m7,amureochi aneun cheok,B5 C5,jal jinaego itneun cheok,C#5 Eb5 E5 G#m7,bandeushi,A G#m7,utneunda~ utneunda~,F#m7,gakkeumsshigirado ireoke,B5 C5,useumyeonseo mannage,C#5 Eb5 E5 G#m7,bandeushi,G#m7 A,I smile,F#m A B5,B5 C#5 F#m A,neoreul bonaego namyeon,B5 C#5 G#m F#m,useumeun sarajigetji,F#m A B5 C#5,F#m A,F#m B5 E,A,oneulmankeumeun I smile,G#m7,apeudeorado I smile,G#m7,majimakkkaji,F#m7,amureochi aneun cheok,B5 C5,jal jinaego itneun cheok,C#5 Eb5 E5 G#m7,bandeushi,A G#m7,utneunda~ utneunda~,F#m7,gakkeumsshigirado ireoke,B5 C5,useumyeonseo mannage,C#5 Eb5 E5 G#m7,bandeushi,G#m7 A,I smile"
BKPM Sebut 153 Perusahaan Bakal Investasi di RI Usai UU Cipta Kerja Disahkan,https://bola.kompas.com/read/2020/10/08/21114678/waspada-pandemi-corona-timnas-korsel-tak-panggil-son-heung-min,"08/10/2020, 21:11 WIB",BOLA," Kepala Badan Koordinasi Penanaman Modal (BKPM) Bahlil Lahadalia mengatakan ada 153 perusahaan yang bakal berinvestasi di Indonesia usai  ,disahkan.,Sebab para pengusaha tersebut menilai UU Cipta Kerja memberikan kepastian dan mempermudah proses mereka untuk melakukan investasi di Indonesia.,Bahlil pun mengatakan, ratusan perusahaan yang menyatakan komitmen untuk berinvestasi di Indonesia tak hanya berasal dari dalam negeri, namun juga perusahaan asing yang melakukan relokasi dari negara lain.,""Kemarin 153 perusahaan itu ada relokasi, beberapa dari negara Korea, Taiwan, Jepang, Amerika Serikat, China, dan ada Eropa beberapa,"" ujar Bahlil ketika memberikan keterangan pers secara virtual, Kamis (8/10/2020).,Sebelumnya, menurut Bahlil, para Investor tersebut telah berminat untuk melakukan investasi di Indonesia. Namun mereka harus menjalani proses perizinan yang berbelit dan rumit.,""Selama ini mereka tidak melakukan karena diputar-putar izinnya, dipingpong sana sini. Dengan sekarang ini mereka betul-betul mau melakukan investasi,"" kata dia.,Bahlil pun mengungkapkan, investor tersebut berasal dari berbagai macam industri. Meski demikian, dirinya belum mengungkapkan nilai investasi yang bakal masuk ke Indonesia serta jumlah tenaga kerja yang terserap jika benar ratusan investor tersebut menanamkan modalnya di Indonesia.,""Sektornya ada infrastruktur, industri manfaktur, kemudian ada beberapa sektor perkebunan kehutanan, pertambangan, dan ada kesehatan dan energi, pariwisata juga ada beberapa,"" jelas Bahlil."
"Serius dengan Amec, Chika Jessica Tak Masalahkan soal Status Duda",https://bola.kompas.com/read/2020/10/08/21114678/waspada-pandemi-corona-timnas-korsel-tak-panggil-son-heung-min,"08/10/2020, 21:11 WIB",BOLA," - Artis peran  , baru-baru ini melakukan pemotretan foto prewedding dengan eks drummer band Lyla, Achmad Aris alias  ,.,Serius membina hubungan, Chika Jessica mengaku tidak masalah dengan status Amec yang duda dan sudah memiliki anak.,""Ini duda rasa bujangan,"" kata Chika Jessica dalam acara Rumpi, dikutip dari kanal YouTube Trans TV Official, Kamis (8/10/2020).,Chika Jessica juga tak mau ambil pusing dengan status Amec yang sudah duda.,""Gimana ya, ya udah santai aja. Selagi enggak ada masalah ngapain bikin-bikin masalah,"" jelas Chika Jessica.,Amec yang duduk di sebelah Chika Jessica menyetujui ucapan kekasihnya tersebut.,Namun, Chika belum mau membuka rahasia apakah ia sudah dilamar oleh Amec.,Demikian juga Amec masih bungkam soal status hubungannya dengan Chika Jessica.,Amec dan Chika Jessica hanya kompak meminta didoakan yang terbaik untuk mereka berdua.,""Doain aja,"" ucap Amec singkat.,Sebelumnya, Chika Jessica mengatakan Amec adalah sosok yang baik, tidak sombong, dan tidak suka drama."
