,title,link,pubDate,desc,img
0,"Bosan Belajar di Rumah, Siswa SMP Bobol Website Polda DIY",https://jogjapolitan.harianjogja.com/read/2020/11/09/511/1054840/bosan-belajar-di-rumah-siswa-smp-bobol-website-polda-diy,"Mon, 09 Nov 2020 17:27:38 +0700","Kebijakan belajar di rumah selama masa pandemi Coronavirus Disease atau Covid-19 menumbuhkan bakat terpendam bagi anak. Hikmatul Kahfi Suryaputra, siswa kelas II SMP Negeri 2 Bantul ini mampu membobol situs Polda DIY. Bagaimana caranya?","<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054840/hacker-smp.jpg""/>"
1,Jenderal Inggris Sebut Pandemi Corona Bisa Picu Perang Dunia Ketiga,https://news.harianjogja.com/read/2020/11/09/500/1054839/jenderal-inggris-sebut-pandemi-corona-bisa-picu-perang-dunia-ketiga,"Mon, 09 Nov 2020 17:17:15 +0700",Komandan Militer Senior Inggris Jenderal Sir Nick Carter menyebut perang dunia ketiga bisa terjadi karena pandemi Corona.,"<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054839/corona-ilustrasi-2.jpg""/>"
2,"Bertahun-tahun Sulit Dapat Listrik, Petani di Pesisir Kulonprogo Kini Andalkan Panel Surya",https://jogjapolitan.harianjogja.com/read/2020/11/09/514/1054838/bertahun-tahun-sulit-dapat-listrik-petani-di-pesisir-kulonprogo-kini-andalkan-panel-surya,"Mon, 09 Nov 2020 17:07:06 +0700","Komunitas peduli lingkungan yang bergabung dalam Koalisi Keberagaman memberikan seperangkat panel surya dan pompa air listrik kepada petani pengolah lahan pantai di Kalurahan Karangsewu, Kapanewon Galur, Kulonprogo.","<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054838/panel-surya.jpg""/>"
3,Pemerintah Berkomitmen Hadirkan Akses Pendidikan Setara,https://jogjapolitan.harianjogja.com/read/2020/11/09/510/1054837/pemerintah-berkomitmen-hadirkan-akses-pendidikan-setara,"Mon, 09 Nov 2020 16:57:00 +0700",Kegiatan ini merupakan wujud komitmen pemerintah dalam menghadirkan akses pendidikan yang lebih setara kepada penyandang disabilitas.,"<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054837/difabel-ok.jpg""/>"
4,Membangun Nalar Kritis Kader Muda Muhammadiyah Melalui Gerakan Literasi,https://pengabdianumy.harianjogja.com/read/2020/11/09/559/1054836/membangun-nalar-kritis-kader-muda-muhammadiyah-melalui-gerakan-literasi,"Mon, 09 Nov 2020 16:47:34 +0700","Program Pengabdian Masyarakat Berbasis Persyarikatan Muhammadiyah (PPM-Muhammadiyah) yang diketuai dosen Fakultas Hukum Universitas Muhammadiyah Yogyakarta (UMY), Tanto Lailam, meluncurkan Sekolah Literasi Muda Berkarya.","<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054836/umy-tanto-lailam.png""/>"
5,"Menang Pilpres AS, Joe Biden Nyekar ke Makam Istri",https://news.harianjogja.com/read/2020/11/09/500/1054825/menang-pilpres-as-joe-biden-nyekar-ke-makam-istri,"Mon, 09 Nov 2020 16:37:00 +0700",,"<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054825/joe-biden.jpg""/>"
6,"Kisruh Rumah Subsidi di Bantul, Ratusan Konsumen Tempuh Jalur Hukum",https://jogjapolitan.harianjogja.com/read/2020/11/09/511/1054835/kisruh-rumah-subsidi-di-bantul-ratusan-konsumen-tempuh-jalur-hukum,"Mon, 09 Nov 2020 16:27:38 +0700","Puluhan konsumen rumah subsidi di Bantul mendatangi kantor Lembaga Ombudsman (LO) DIY, Senin (9/11/2020). Mereka menuntut kejelasan pengembalian persekot dari pengembang yang dijanjikan setahun lalu. Rencananya, kasus ini akan dibawa ke jalur hukum.","<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054835/rumah-subsidi.jpg""/>"
7,"Uang Atlet e-Sport Rp20 Miliar di Maybank Raib, Hotman Paris Ungkap Keanehan",https://news.harianjogja.com/read/2020/11/09/500/1054823/uang-atlet-e-sport-rp20-miliar-di-maybank-raib-hotman-paris-ungkap-keanehan,"Mon, 09 Nov 2020 16:17:00 +0700","Atlet e-sport putri Winda Lunardi dan ibunya, Floleta Lizzy Wiguna menjadi korban kejahatan perbankan dengan modus bunga tinggi hingga 10%. Tabungan yang mereka tanam selama lima tahun di Maybank bukan hanya tak menghasilkan untung, melainkan lenyap tanpa jejak.","<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054823/himamaybank270619-3.jpeg""/>"
8,Bandara Soetta Minta Simpatisan Rizieq Tak Ganggu Operasional Bandara saat Penyambutan,https://news.harianjogja.com/read/2020/11/09/500/1054827/bandara-soetta-minta-simpatisan-rizieq-tak-ganggu-operasional-bandara-saat-penyambutan,"Mon, 09 Nov 2020 16:07:00 +0700","Habib Rizieq Shihab dijadwalkan tiba di Indonesia dari Arab Saudi pada Selasa (10/11/2020) besok. Otoritas Bandara Soekarno Hatta, Cengkareng, Banten meminta para simpatisan Rizieq tetap mematuhi aturan bandara selama proses penyambutan.","<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054827/habib-rizieq-2.jpg""/>"
9, Dinas Pertanian dan Pangan Jogja Gelar Kontes Tanaman Hias,https://jogjapolitan.harianjogja.com/read/2020/11/09/510/1054831/dinas-pertanian-dan-pangan-jogja-gelar-kontes-tanaman-hias,"Mon, 09 Nov 2020 15:57:16 +0700",Dinas Pertanian dan Pangan Kota Jogja menggali potensi petani dengan menggelar kontes tanaman hias. Kontes ini dikhususkan untuk jenis aglonema dan anggrek.,"<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054831/foto-memo-tanaman-hias-pemkot-.jpg""/>"
10,"Kemendagri Berharap Partisipasi Pemilih Pilkada 2020 Mencapai 77,5%",https://news.harianjogja.com/read/2020/11/09/500/1054824/kemendagri-berharap-partisipasi-pemilih-pilkada-2020-mencapai-775,"Mon, 09 Nov 2020 15:37:00 +0700",,"<enclosure length=""1300"" type=""image/jpeg"" url=""https://img.harianjogja.com/posts/2020/11/09/1054824/pilkada-pemungutan-suara.jpg""/>"
